EMPLEADO;ZONARUTA;RAZONSOC;DIRECCION;CODIGOCLI;FECHAMOV;ENTREGAS;DEVOLUCION;FALTANTES;SOBRANTES;VALORUNITA;COBRADO;VALORFEC;VALORCOM;NOMPU;FEPAGO
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;19/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;20/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;21/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;22/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;24/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;25/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;26/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;27/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;COPY CALDAS;CL 26 # 21-11;COPCAL01;26/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;COPY CALDAS;CL 26 # 21-11;COPCAL01;27/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;SUPERMERCADO RANCHO ROJO;CL 12 #7B 76;SUPRAN01;21/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
